clock,xxx,src,dest
55.0,Animation,PVG,SHA
55.0,Animation,SEA,PHX
55.0,Animation,SZX,NRT
55.0,Animation,TPE,MCO
55.0,Animation,CGK,CLT
55.0,Animation,FCO,CDG
55.0,Animation,LHR,LAS
55.0,Animation,MAD,IAH
55.0,Animation,ORY,PEK
55.0,Animation,PEK,MIA
60.0,Animation,BOM,ORD
60.0,Animation,EWR,MAD
60.0,Animation,JFK,AYT
60.0,Animation,KUL,SIN
60.0,Animation,MSP,PEK
60.0,Animation,AMS,MAD
60.0,Animation,ATL,KUL
60.0,Animation,AYT,ORY
60.0,Animation,BOS,CLT
60.0,Animation,CAN,TPE
60.0,Animation,CLT,MSP
60.0,Animation,CTU,LHR
60.0,Animation,DEL,ZRH
60.0,Animation,DEN,PEK
60.0,Animation,DTW,CAN
60.0,Animation,EWR,MAD
60.0,Animation,GRU,DEN
60.0,Animation,HKG,BOS
60.0,Animation,IAH,MSP
60.0,Animation,IST,MCO
60.0,Animation,JFK,SEA
60.0,Animation,KUL,PEK
60.0,Animation,LAS,DXB
60.0,Animation,LAX,CLT
60.0,Animation,MSP,MEX
60.0,Animation,MUC,LAS
60.0,Animation,NRT,PHX
60.0,Animation,ORD,DTW
60.0,Animation,SFO,AYT
60.0,Animation,SHA,TPE
60.0,Animation,SIN,KUL
60.0,Animation,SYD,HKG
60.0,Animation,YYZ,BOM
60.0,Animation,ZRH,YYZ
60.0,Animation,AMS,KUL
60.0,Animation,ATL,FRA
60.0,Animation,AYT,NRT
60.0,Animation,BOM,MAD
60.0,Animation,BOS,AYT
60.0,Animation,CAN,DEL
60.0,Animation,CDG,DFW
60.0,Animation,CLT,CGK
60.0,Animation,CTU,CLT
60.0,Animation,DEL,SEA
60.0,Animation,DEN,CTU
60.0,Animation,DFW,CGK
60.0,Animation,DTW,DFW
60.0,Animation,DXB,JFK
60.0,Animation,FRA,AMS
60.0,Animation,GRU,EWR
60.0,Animation,HKG,DEN
60.0,Animation,IAH,ORD
60.0,Animation,IST,MIA
60.0,Animation,LAS,GRU
60.0,Animation,LAX,CTU
60.0,Animation,MCO,SIN
60.0,Animation,MEL,PHL
60.0,Animation,MEX,BOM
60.0,Animation,MIA,ZRH
60.0,Animation,MUC,AYT
60.0,Animation,NRT,FRA
60.0,Animation,ORD,SYD
60.0,Animation,PHL,YYZ
60.0,Animation,PHX,SEA
60.0,Animation,PVG,FCO
60.0,Animation,SEA,DEN
60.0,Animation,SZX,CAN
60.0,Animation,YYZ,PVG
60.0,Animation,ZRH,ORD
60.0,Animation,CDG,DEN
60.0,Animation,CGK,DEN
60.0,Animation,DFW,SYD
60.0,Animation,DXB,CLT
60.0,Animation,LHR,HKG
60.0,Animation,MAD,FRA
60.0,Animation,MCO,EWR
60.0,Animation,MEL,DTW
60.0,Animation,MEX,FCO
60.0,Animation,MIA,EWR
60.0,Animation,ORY,SHA
60.0,Animation,PEK,SEA
60.0,Animation,PHL,SIN
60.0,Animation,PHX,SHA
60.0,Animation,PVG,CTU
60.0,Animation,SEA,LHR
60.0,Animation,SFO,LHR
60.0,Animation,SHA,PVG
60.0,Animation,SIN,LHR
60.0,Animation,SYD,PHL
60.0,Animation,SZX,PHX
60.0,Animation,TPE,PHX
60.0,Animation,CGK,SYD
60.0,Animation,FCO,MIA
60.0,Animation,FRA,YYZ
60.0,Animation,LHR,MIA
60.0,Animation,MAD,TPE
60.0,Animation,PEK,CTU
60.0,Animation,TPE,CTU
60.0,Animation,FCO,GRU
60.0,Animation,ORY,BOS
65.0,Animation,EWR,CDG
65.0,Animation,JFK,SZX
65.0,Animation,KUL,PHX
65.0,Animation,MSP,CDG
65.0,Animation,AMS,DFW
65.0,Animation,ATL,DTW
65.0,Animation,AYT,DXB
65.0,Animation,BOM,DXB
65.0,Animation,BOS,DEL
65.0,Animation,CAN,MCO
65.0,Animation,CLT,MCO
65.0,Animation,CTU,SYD
65.0,Animation,DEL,CLT
65.0,Animation,DEN,DFW
65.0,Animation,DTW,BOS
65.0,Animation,EWR,MCO
65.0,Animation,JFK,IAH
65.0,Animation,KUL,IAH
65.0,Animation,LAS,DXB
65.0,Animation,LAX,FCO
65.0,Animation,MSP,SZX
65.0,Animation,MUC,SIN
65.0,Animation,NRT,TPE
65.0,Animation,ORD,CTU
65.0,Animation,YYZ,BOS
65.0,Animation,ZRH,AYT
65.0,Animation,AMS,SYD
65.0,Animation,ATL,DFW
65.0,Animation,AYT,DXB
65.0,Animation,BOM,MIA
65.0,Animation,BOS,DFW
65.0,Animation,CAN,PVG
65.0,Animation,CDG,MEL
65.0,Animation,CLT,AYT
65.0,Animation,CTU,YYZ
65.0,Animation,DEL,SYD
65.0,Animation,DEN,GRU
65.0,Animation,DFW,DXB
65.0,Animation,DTW,SIN
65.0,Animation,DXB,DFW
65.0,Animation,GRU,YYZ
65.0,Animation,HKG,DXB
65.0,Animation,IAH,LHR
65.0,Animation,IST,DXB
65.0,Animation,LAS,MSP
65.0,Animation,LAX,MIA
65.0,Animation,MCO,MIA
65.0,Animation,MEL,TPE
65.0,Animation,MEX,TPE
65.0,Animation,MIA,DXB
65.0,Animation,NRT,SHA
65.0,Animation,ORD,CLT
65.0,Animation,PHL,CTU
65.0,Animation,PHX,LHR
65.0,Animation,PVG,DEL
65.0,Animation,SEA,AMS
65.0,Animation,SFO,MSP
65.0,Animation,SHA,SFO
65.0,Animation,SIN,GRU
65.0,Animation,SYD,PVG
65.0,Animation,SZX,SFO
65.0,Animation,YYZ,DFW
65.0,Animation,ZRH,MCO
65.0,Animation,DFW,ORY
65.0,Animation,DXB,ORY
65.0,Animation,FRA,CLT
65.0,Animation,GRU,PVG
65.0,Animation,HKG,MEX
65.0,Animation,IAH,NRT
65.0,Animation,IST,DXB
65.0,Animation,LHR,BOS
65.0,Animation,MAD,SFO
65.0,Animation,MCO,PHL
65.0,Animation,MEL,MCO
65.0,Animation,MEX,DEL
65.0,Animation,MIA,AMS
65.0,Animation,MUC,ORY
65.0,Animation,PEK,SIN
65.0,Animation,PHL,LHR
65.0,Animation,PHX,DXB
65.0,Animation,PVG,KUL
65.0,Animation,SEA,MIA
65.0,Animation,SFO,CDG
65.0,Animation,SHA,JFK
65.0,Animation,SIN,CDG
65.0,Animation,SYD,CDG
65.0,Animation,SZX,PHL
65.0,Animation,TPE,MCO
65.0,Animation,CDG,BOM
65.0,Animation,CGK,DEN
